"HHID"	"PERID"	"CASE"	"ALTNUM"	"NUMALTS"	"CHOSEN"	"IVTT"	"OVTT"	"TVTT"	"COST"	"DIST"	"WKZONE"	"HMZONE"	"RSPOPDEN"	"RSEMPDEN"	"WKPOPDEN"	"WKEMPDEN"	"VEHAVDUM"	"FEMDUM"	"AGE"	"DRLICDUM"	"NONCADUM"	"NUMVEH"	"HHSIZE"	"HHINC"	"FAMTYPE"	"HHOWNDUM"	"NUMEMPHH"	"NUMADLT"	"NMLT5"	"NM5TO11"	"NM12TO16"	"WKCCBD"	"WKNCCBD"	"CORREDIS"	"VEHBYWRK"	"VOCC"	"COSTINC"	"M_TT"	"NM_TT"	"M_IVTT"	"M_OVTT"
5	1	3	1	4	1	8.6	6	14.6	37.76	4.1	696	667	85.35	105.93	29.45	22.42	1	1	28	1	1	1	5	12.5	12	0	3	3	2	0	0	0	1	0	.33	1	3.0208	14.6		8.6	6
5	1	3	2	4	0	13.6	6	19.6	18.88	4.1	696	667	85.35	105.93	29.45	22.42	1	1	28	1	1	1	5	12.5	12	0	3	3	2	0	0	0	1	0	.33	1	1.5104	19.6		13.6	6
5	1	3	3	4	0	15.6	6	21.6	10.79	4.1	696	667	85.35	105.93	29.45	22.42	1	1	28	1	1	1	5	12.5	12	0	3	3	2	0	0	0	1	0	.33	1	.8632	21.6		15.6	6
5	1	3	4	4	0	16.87	21.4	38.27	105	4.1	696	667	85.35	105.93	29.45	22.42	1	1	28	1	1	1	5	12.5	12	0	3	3	2	0	0	0	1	0	.33	1	8.4	38.27		16.87	21.4
6	1	4	1	4	0	30.6	8.5	39.1	417.32	14.58	665	8	32.31	25.61	0	395.34	1	1	34	1	1	2	3	55	3	1	2	2	1	0	0	1	0	0	1	0	7.5876363636363635	39.1		30.6	8.5
6	1	4	2	4	0	35.7	8.5	44.2	208.66	14.58	665	8	32.31	25.61	0	395.34	1	1	34	1	1	2	3	55	3	1	2	2	1	0	0	1	0	0	1	0	3.7938181818181818	44.2		35.7	8.5
6	1	4	3	4	0	22.7	8.5	31.2	105.54	14.58	665	8	32.31	25.61	0	395.34	1	1	34	1	1	2	3	55	3	1	2	2	1	0	0	1	0	0	1	0	1.9189090909090911	31.2		22.7	8.5
6	1	4	4	4	1	24.27	9	33.27	193.49	14.58	665	8	32.31	25.61	0	395.34	1	1	34	1	1	2	3	55	3	1	2	2	1	0	0	1	0	0	1	0	3.5180000000000002	33.27		24.27	9
8	2	5	2	4	1	23.04	3	26.04	29.95	6.29	679	704	33.04	106.52	89.24	5.77	0	1	43	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	2	.3422857142857143	26.04		23.04	3
8	2	5	3	4	0	25.04	3	28.04	17.12	6.29	679	704	33.04	106.52	89.24	5.77	0	1	43	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	2	.19565714285714286	28.04		25.04	3
8	2	5	4	4	0	25.04	23.5	48.54	100	6.29	679	704	33.04	106.52	89.24	5.77	0	1	43	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	2	1.1428571428571428	48.54		25.04	23.5
8	2	5	5	4	0	34.35	3	37.35	0	6.29	679	704	33.04	106.52	89.24	5.77	0	1	43	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	2	0		37.35		
8	3	6	2	5	0	11.14	3.5	14.64	14	2.83	679	665	33.04	106.52	32.31	25.61	0	1	18	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	0	.16	14.64		11.14	3.5
8	3	6	3	5	0	13.14	3.5	16.64	8	2.83	679	665	33.04	106.52	32.31	25.61	0	1	18	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	0	.09142857142857143	16.64		13.14	3.5
8	3	6	4	5	1	3.95	16.24	20.19	100	2.83	679	665	33.04	106.52	32.31	25.61	0	1	18	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	0	1.1428571428571428	20.19		3.95	16.24
8	3	6	5	5	0	16.05	3.5	19.55	0	2.83	679	665	33.04	106.52	32.31	25.61	0	1	18	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	0	0		19.55		
8	3	6	6	5	0	0	0	60.1	0	2.83	679	665	33.04	106.52	32.31	25.61	0	1	18	0	1	0	3	87.5	6	1	3	3	0	0	0	0	1	0	0	0	0		60.1		
12	2	7	1	6	1	8.8	3	11.8	31.65	3.44	667	682	29.45	22.42	6.57	8.83	1	0	43	1	1	2	2	12.5	8	0	2	2	0	0	0	0	1	0	1	1	2.532	11.8		8.8	3
12	2	7	2	6	0	13.8	3	16.8	15.83	3.44	667	682	29.45	22.42	6.57	8.83	1	0	43	1	1	2	2	12.5	8	0	2	2	0	0	0	0	1	0	1	1	1.2664	16.8		13.8	3
12	2	7	3	6	0	15.8	3	18.8	9.04	3.44	667	682	29.45	22.42	6.57	8.83	1	0	43	1	1	2	2	12.5	8	0	2	2	0	0	0	0	1	0	1	1	.7232	18.8		15.8	3
12	2	7	4	6	0	13.84	56.04	69.88	100	3.44	667	682	29.45	22.42	6.57	8.83	1	0	43	1	1	2	2	12.5	8	0	2	2	0	0	0	0	1	0	1	1	8	69.88		13.84	56.04
12	2	7	5	6	0	18.15	3	21.15	0	3.44	667	682	29.45	22.42	6.57	8.83	1	0	43	1	1	2	2	12.5	8	0	2	2	0	0	0	0	1	0	1	1	0		21.15		
12	2	7	6	6	0	0	0	71.8	0	3.44	667	682	29.45	22.42	6.57	8.83	1	0	43	1	1	2	2	12.5	8	0	2	2	0	0	0	0	1	0	1	1	0		71.8		
17	2	8	1	5	1	18.44	5.5	23.94	287.81	9.81	660	732	24.79	16.03	42.21	49.65	1	0	41	1	1	2	4	87.5	3	1	2	2	0	1	1	0	0	0	1	1	3.289257142857143	23.94		18.44	5.5
17	2	8	2	5	0	23.44	5.5	28.94	143.91	9.81	660	732	24.79	16.03	42.21	49.65	1	0	41	1	1	2	4	87.5	3	1	2	2	0	1	1	0	0	0	1	1	1.6446857142857143	28.94		23.44	5.5
17	2	8	3	5	0	25.44	5.5	30.94	82.23	9.81	660	732	24.79	16.03	42.21	49.65	1	0	41	1	1	2	4	87.5	3	1	2	2	0	1	1	0	0	0	1	1	.9397714285714286	30.94		25.44	5.5
17	2	8	4	5	0	31.27	35.02	66.29	105	9.81	660	732	24.79	16.03	42.21	49.65	1	0	41	1	1	2	4	87.5	3	1	2	2	0	1	1	0	0	0	1	1	1.2	66.29		31.27	35.02
17	2	8	5	5	0	50.35	5.5	55.85	0	9.81	660	732	24.79	16.03	42.21	49.65	1	0	41	1	1	2	4	87.5	3	1	2	2	0	1	1	0	0	0	1	1	0		55.85		
19	1	9	1	4	1	11.44	2	13.44	62.78	6.82	660	715	24.79	16.03	10.27	8.32	1	1	30	1	1	2	3	55	6	1	1	3	0	0	0	0	1	0	2	1	1.1414545454545455	13.44		11.44	2
19	1	9	2	4	0	16.44	2	18.44	31.39	6.82	660	715	24.79	16.03	10.27	8.32	1	1	30	1	1	2	3	55	6	1	1	3	0	0	0	0	1	0	2	1	.5707272727272727	18.44		16.44	2
19	1	9	3	4	0	18.44	2	20.44	17.94	6.82	660	715	24.79	16.03	10.27	8.32	1	1	30	1	1	2	3	55	6	1	1	3	0	0	0	0	1	0	2	1	.3261818181818182	20.44		18.44	2
19	1	9	4	4	0	26.37	34	60.37	127.27	6.82	660	715	24.79	16.03	10.27	8.32	1	1	30	1	1	2	3	55	6	1	1	3	0	0	0	0	1	0	2	1	2.314	60.37		26.37	34
20	1	10	1	4	1	14.58	6	20.58	100.54	11.17	692	646	38.35	81.69	15.66	17.49	1	1	29	1	1	1	1	32.5	7	0	1	1	0	0	0	0	1	0	1	1	3.093538461538462	20.58		14.58	6
20	1	10	2	4	0	19.58	6	25.58	50.27	11.17	692	646	38.35	81.69	15.66	17.49	1	1	29	1	1	1	1	32.5	7	0	1	1	0	0	0	0	1	0	1	1	1.546769230769231	25.58		19.58	6
20	1	10	3	4	0	21.58	6	27.58	28.73	11.17	692	646	38.35	81.69	15.66	17.49	1	1	29	1	1	1	1	32.5	7	0	1	1	0	0	0	0	1	0	1	1	.884	27.58		21.58	6
20	1	10	4	4	0	26.56	23.4	49.96	131.77	11.17	692	646	38.35	81.69	15.66	17.49	1	1	29	1	1	1	1	32.5	7	0	1	1	0	0	0	0	1	0	1	1	4.054461538461538	49.96		26.56	23.4
22	2	11	1	5	0	28.12	10	38.12	461.13	10.55	697	2	62.2	171.44	105.7	625.58	1	0	19	1	1	1	2	42.5	11	0	2	2	0	0	0	1	0	0	.5	0	10.850117647058823	38.12		28.12	10
22	2	11	2	5	0	33.12	10	43.12	230.56	10.55	697	2	62.2	171.44	105.7	625.58	1	0	19	1	1	1	2	42.5	11	0	2	2	0	0	0	1	0	0	.5	0	5.424941176470588	43.12		33.12	10
22	2	11	3	5	0	20.12	10	30.12	118.06	10.55	697	2	62.2	171.44	105.7	625.58	1	0	19	1	1	1	2	42.5	11	0	2	2	0	0	0	1	0	0	.5	0	2.7778823529411767	30.12		20.12	10
22	2	11	4	5	1	17.3	14	31.3	159.45	10.55	697	2	62.2	171.44	105.7	625.58	1	0	19	1	1	1	2	42.5	11	0	2	2	0	0	0	1	0	0	.5	0	3.7517647058823527	31.3		17.3	14
22	2	11	5	5	0	53.4	10	63.4	0	10.55	697	2	62.2	171.44	105.7	625.58	1	0	19	1	1	1	2	42.5	11	0	2	2	0	0	0	1	0	0	.5	0	0		63.4		
27	2	12	1	4	1	11.56	2	13.56	52.06	5.55	623	596	13.77	8.76	25.24	17.05	1	0	60	1	0	5	2	37.5	1	1	1	2	0	0	0	0	0	0	5	1	1.3882666666666668	13.56		11.56	2
27	2	12	2	4	0	16.56	2	18.56	26.03	5.55	623	596	13.77	8.76	25.24	17.05	1	0	60	1	0	5	2	37.5	1	1	1	2	0	0	0	0	0	0	5	1	.6941333333333334	18.56		16.56	2
27	2	12	3	4	0	18.56	2	20.56	14.87	5.55	623	596	13.77	8.76	25.24	17.05	1	0	60	1	0	5	2	37.5	1	1	1	2	0	0	0	0	0	0	5	1	.3965333333333333	20.56		18.56	2
27	2	12	4	4	0	20.1	15.5	35.6	124.1	5.55	623	596	13.77	8.76	25.24	17.05	1	0	60	1	0	5	2	37.5	1	1	1	2	0	0	0	0	0	0	5	1	3.309333333333333	35.6		20.1	15.5
29	1	13	1	4	1	27.64	2	29.64	154.69	16.71	623	705	13.77	8.76	53.07	4.3	1	1	55	1	0	5	6	87.5	12	1	3	4	2	0	0	0	1	0	1.67	1	1.7678857142857143	29.64		27.64	2
29	1	13	2	4	0	32.64	2	34.64	77.35	16.71	623	705	13.77	8.76	53.07	4.3	1	1	55	1	0	5	6	87.5	12	1	3	4	2	0	0	0	1	0	1.67	1	.8839999999999999	34.64		32.64	2
29	1	13	3	4	0	34.64	2	36.64	44.2	16.71	623	705	13.77	8.76	53.07	4.3	1	1	55	1	0	5	6	87.5	12	1	3	4	2	0	0	0	1	0	1.67	1	.5051428571428572	36.64		34.64	2
29	1	13	4	4	0	33.19	48.34	81.53	185	16.71	623	705	13.77	8.76	53.07	4.3	1	1	55	1	0	5	6	87.5	12	1	3	4	2	0	0	0	1	0	1.67	1	2.1142857142857143	81.53		33.19	48.34
29	2	14	1	4	1	27.64	2	29.64	154.69	16.71	623	705	13.77	8.76	53.07	4.3	1	0	62	1	0	5	6	87.5	12	1	3	4	2	0	0	0	1	0	1.67	1	1.7678857142857143	29.64		27.64	2
29	2	14	2	4	0	32.64	2	34.64	77.35	16.71	623	705	13.77	8.76	53.07	4.3	1	0	62	1	0	5	6	87.5	12	1	3	4	2	0	0	0	1	0	1.67	1	.8839999999999999	34.64		32.64	2
29	2	14	3	4	0	34.64	2	36.64	44.2	16.71	623	705	13.77	8.76	53.07	4.3	1	0	62	1	0	5	6	87.5	12	1	3	4	2	0	0	0	1	0	1.67	1	.5051428571428572	36.64		34.64	2
29	2	14	4	4	0	32.3	27.6	59.9	179.1	16.71	623	705	13.77	8.76	53.07	4.3	1	0	62	1	0	5	6	87.5	12	1	3	4	2	0	0	0	1	0	1.67	1	2.0468571428571427	59.9		32.3	27.6
30	2	15	1	5	1	11.62	2	13.62	63.22	6.96	610	645	17.48	13.07	27.27	7.41	1	1	46	1	0	5	3	112.5	3	1	2	3	0	0	0	0	1	0	2.5	1	.5619555555555555	13.62		11.62	2
30	2	15	2	5	0	16.62	2	18.62	31.61	6.96	610	645	17.48	13.07	27.27	7.41	1	1	46	1	0	5	3	112.5	3	1	2	3	0	0	0	0	1	0	2.5	1	.28097777777777777	18.62		16.62	2
30	2	15	3	5	0	18.62	2	20.62	18.06	6.96	610	645	17.48	13.07	27.27	7.41	1	1	46	1	0	5	3	112.5	3	1	2	3	0	0	0	0	1	0	2.5	1	.16053333333333333	20.62		18.62	2
30	2	15	4	5	0	18.18	20.9	39.08	124.18	6.96	610	645	17.48	13.07	27.27	7.41	1	1	46	1	0	5	3	112.5	3	1	2	3	0	0	0	0	1	0	2.5	1	1.1038222222222223	39.08		18.18	20.9
30	2	15	5	5	0	36.25	2	38.25	0	6.96	610	645	17.48	13.07	27.27	7.41	1	1	46	1	0	5	3	112.5	3	1	2	3	0	0	0	0	1	0	2.5	1	0		38.25		
31	1	16	1	3	1	57.04	2	59.04	378.01	42.72	623	362	13.77	8.76	6.29	33.84	1	0	32	1	0	3	3	112.5	10	1	2	3	0	0	0	0	0	0	1.5	1	3.360088888888889	59.04		57.04	2
31	1	16	2	3	0	62.24	2	64.24	189.01	42.72	623	362	13.77	8.76	6.29	33.84	1	0	32	1	0	3	3	112.5	10	1	2	3	0	0	0	0	0	0	1.5	1	1.6800888888888887	64.24		62.24	2
31	1	16	3	3	0	64.24	2	66.24	108	42.72	623	362	13.77	8.76	6.29	33.84	1	0	32	1	0	3	3	112.5	10	1	2	3	0	0	0	0	0	0	1.5	1	.96	66.24		64.24	2
31	2	17	1	4	0	37.24	2	39.24	276.6	31.19	623	821	13.77	8.76	11.98	27.62	1	0	39	1	1	3	3	112.5	10	1	2	3	0	0	0	0	0	0	1.5	0	2.458666666666667	39.24		37.24	2
31	2	17	2	4	0	42.44	2	44.44	138.3	31.19	623	821	13.77	8.76	11.98	27.62	1	0	39	1	1	3	3	112.5	10	1	2	3	0	0	0	0	0	0	1.5	0	1.2293333333333334	44.44		42.44	2
31	2	17	3	4	0	44.44	2	46.44	79.03	31.19	623	821	13.77	8.76	11.98	27.62	1	0	39	1	1	3	3	112.5	10	1	2	3	0	0	0	0	0	0	1.5	0	.7024888888888889	46.44		44.44	2
31	2	17	4	4	1	61.3	34.2	95.5	287.1	31.19	623	821	13.77	8.76	11.98	27.62	1	0	39	1	1	3	3	112.5	10	1	2	3	0	0	0	0	0	0	1.5	0	2.552	95.5		61.3	34.2
32	1	18	1	6	0	7.12	2	9.12	28.6	2.84	608	605	15.98	6.97	16.04	20.65	1	0	36	1	0	1	2	12.5	6	1	1	2	0	0	0	0	0	0	1	2	2.2880000000000003	9.12		7.12	2
32	1	18	2	6	1	12.12	2	14.12	14.3	2.84	608	605	15.98	6.97	16.04	20.65	1	0	36	1	0	1	2	12.5	6	1	1	2	0	0	0	0	0	0	1	2	1.1440000000000001	14.12		12.12	2
32	1	18	3	6	0	14.12	2	16.12	8.17	2.84	608	605	15.98	6.97	16.04	20.65	1	0	36	1	0	1	2	12.5	6	1	1	2	0	0	0	0	0	0	1	2	.6536	16.12		14.12	2
32	1	18	4	6	0	6.44	21.52	27.96	100	2.84	608	605	15.98	6.97	16.04	20.65	1	0	36	1	0	1	2	12.5	6	1	1	2	0	0	0	0	0	0	1	2	8	27.96		6.44	21.52
32	1	18	5	6	0	16.4	2	18.4	0	2.84	608	605	15.98	6.97	16.04	20.65	1	0	36	1	0	1	2	12.5	6	1	1	2	0	0	0	0	0	0	1	2	0		18.4		
32	1	18	6	6	0	0	0	58.8	0	2.84	608	605	15.98	6.97	16.04	20.65	1	0	36	1	0	1	2	12.5	6	1	1	2	0	0	0	0	0	0	1	2	0		58.8		
33	2	19	1	4	1	28.92	2	30.92	146.5	14.98	608	704	15.98	6.97	89.24	5.77	1	1	31	1	0	2	2	17.5	10	0	2	2	0	0	0	0	1	0	1	1	8.371428571428572	30.92		28.92	2
33	2	19	2	4	0	33.92	2	35.92	73.25	14.98	608	704	15.98	6.97	89.24	5.77	1	1	31	1	0	2	2	17.5	10	0	2	2	0	0	0	0	1	0	1	1	4.185714285714286	35.92		33.92	2
33	2	19	3	4	0	35.92	2	37.92	41.86	14.98	608	704	15.98	6.97	89.24	5.77	1	1	31	1	0	2	2	17.5	10	0	2	2	0	0	0	0	1	0	1	1	2.392	37.92		35.92	2
33	2	19	4	4	0	46.54	43.54	90.08	175	14.98	608	704	15.98	6.97	89.24	5.77	1	1	31	1	0	2	2	17.5	10	0	2	2	0	0	0	0	1	0	1	1	10	90.08		46.54	43.54
35	1	20	1	4	1	19.24	2	21.24	126.96	14.08	607	529	14.42	6.07	13.91	15.15	1	1	64	1	0	3	3	37.5	13	1	2	3	0	0	0	0	0	0	1.5	1	3.3855999999999997	21.24		19.24	2
35	1	20	2	4	0	24.24	2	26.24	63.48	14.08	607	529	14.42	6.07	13.91	15.15	1	1	64	1	0	3	3	37.5	13	1	2	3	0	0	0	0	0	0	1.5	1	1.6927999999999999	26.24		24.24	2
35	1	20	3	4	0	26.24	2	28.24	36.28	14.08	607	529	14.42	6.07	13.91	15.15	1	1	64	1	0	3	3	37.5	13	1	2	3	0	0	0	0	0	0	1.5	1	.9674666666666667	28.24		26.24	2
35	1	20	4	4	0	50.83	53.19	104.02	188	14.08	607	529	14.42	6.07	13.91	15.15	1	1	64	1	0	3	3	37.5	13	1	2	3	0	0	0	0	0	0	1.5	1	5.013333333333334	104.02		50.83	53.19
36	1	21	1	4	1	19.02	6.5	25.52	238.24	13.26	605	697	16.04	20.65	62.2	171.44	1	1	35	1	0	2	2	87.5	1	1	2	2	0	0	0	0	1	0	1	1	2.7227428571428574	25.52		19.02	6.5
36	1	21	2	4	0	24.12	6.5	30.62	119.12	13.26	605	697	16.04	20.65	62.2	171.44	1	1	35	1	0	2	2	87.5	1	1	2	2	0	0	0	0	1	0	1	1	1.3613714285714287	30.62		24.12	6.5
36	1	21	3	4	0	26.12	6.5	32.62	68.07	13.26	605	697	16.04	20.65	62.2	171.44	1	1	35	1	0	2	2	87.5	1	1	2	2	0	0	0	0	1	0	1	1	.777942857142857	32.62		26.12	6.5
36	1	21	4	4	0	21.8	32.8	54.6	150	13.26	605	697	16.04	20.65	62.2	171.44	1	1	35	1	0	2	2	87.5	1	1	2	2	0	0	0	0	1	0	1	1	1.7142857142857142	54.6		21.8	32.8
39	1	22	1	3	0	23.44	2	25.44	162.72	18.18	607	525	14.42	6.07	10.28	5.41	1	0	35	1	1	2	3	42.5	3	1	1	2	1	0	0	0	0	0	2	3	3.828705882352941	25.44		23.44	2
39	1	22	2	3	0	28.54	2	30.54	81.36	18.18	607	525	14.42	6.07	10.28	5.41	1	0	35	1	1	2	3	42.5	3	1	1	2	1	0	0	0	0	0	2	3	1.9143529411764706	30.54		28.54	2
39	1	22	3	3	1	30.54	2	32.54	46.49	18.18	607	525	14.42	6.07	10.28	5.41	1	0	35	1	1	2	3	42.5	3	1	1	2	1	0	0	0	0	0	2	3	1.0938823529411765	32.54		30.54	2
41	2	23	1	5	1	12.62	2.5	15.12	59.99	6.24	634	639	265.33	1.15	28.08	16.92	1	0	33	1	1	4	3	55	3	0	2	2	1	0	0	0	1	0	2	1	1.0907272727272728	15.12		12.62	2.5
41	2	23	2	5	0	17.62	2.5	20.12	30	6.24	634	639	265.33	1.15	28.08	16.92	1	0	33	1	1	4	3	55	3	0	2	2	1	0	0	0	1	0	2	1	.5454545454545454	20.12		17.62	2.5
41	2	23	3	5	0	19.62	2.5	22.12	17.14	6.24	634	639	265.33	1.15	28.08	16.92	1	0	33	1	1	4	3	55	3	0	2	2	1	0	0	0	1	0	2	1	.31163636363636366	22.12		19.62	2.5
41	2	23	4	5	0	17.83	41.14	58.97	100	6.24	634	639	265.33	1.15	28.08	16.92	1	0	33	1	1	4	3	55	3	0	2	2	1	0	0	0	1	0	2	1	1.8181818181818181	58.97		17.83	41.14
41	2	23	5	5	0	34.4	2.5	36.9	0	6.24	634	639	265.33	1.15	28.08	16.92	1	0	33	1	1	4	3	55	3	0	2	2	1	0	0	0	1	0	2	1	0		36.9		
42	8	24	1	4	1	23.7	5.5	29.2	302.05	17.38	625	733	18.48	18.12	75.14	61.6	1	0	38	1	1	3	8	37.5	12	1	4	6	0	1	1	0	0	0	.75	1	8.054666666666668	29.2		23.7	5.5
42	8	24	2	4	0	28.7	5.5	34.2	151.02	17.38	625	733	18.48	18.12	75.14	61.6	1	0	38	1	1	3	8	37.5	12	1	4	6	0	1	1	0	0	0	.75	1	4.027200000000001	34.2		28.7	5.5
42	8	24	3	4	0	30.7	5.5	36.2	86.3	17.38	625	733	18.48	18.12	75.14	61.6	1	0	38	1	1	3	8	37.5	12	1	4	6	0	1	1	0	0	0	.75	1	2.3013333333333335	36.2		30.7	5.5
42	8	24	4	4	0	31.83	26.46	58.29	150	17.38	625	733	18.48	18.12	75.14	61.6	1	0	38	1	1	3	8	37.5	12	1	4	6	0	1	1	0	0	0	.75	1	4	58.29		31.83	26.46
43	1	25	1	5	1	7.42	2	9.42	28.17	2.79	624	622	24.46	16.05	10.83	8.02	1	1	25	1	1	4	2	87.5	1	1	2	2	0	0	0	0	0	0	2	1	.32194285714285714	9.42		7.42	2
43	1	25	2	5	0	12.42	2	14.42	14.08	2.79	624	622	24.46	16.05	10.83	8.02	1	1	25	1	1	4	2	87.5	1	1	2	2	0	0	0	0	0	0	2	1	.1609142857142857	14.42		12.42	2
43	1	25	3	5	0	14.42	2	16.42	8.05	2.79	624	622	24.46	16.05	10.83	8.02	1	1	25	1	1	4	2	87.5	1	1	2	2	0	0	0	0	0	0	2	1	.09200000000000001	16.42		14.42	2
43	1	25	4	5	0	9.53	17.6	27.13	100	2.79	624	622	24.46	16.05	10.83	8.02	1	1	25	1	1	4	2	87.5	1	1	2	2	0	0	0	0	0	0	2	1	1.1428571428571428	27.13		9.53	17.6
43	1	25	6	5	0	0	0	57.8	0	2.79	624	622	24.46	16.05	10.83	8.02	1	1	25	1	1	4	2	87.5	1	1	2	2	0	0	0	0	0	0	2	1	0		57.8		
44	1	26	1	6	1	8.62	2	10.62	37.15	3.77	633	622	10.13	13.14	10.83	8.02	1	1	32	1	0	1	1	22.5	7	1	1	1	0	0	0	0	0	0	1	1	1.651111111111111	10.62		8.62	2
44	1	26	2	6	0	13.62	2	15.62	18.57	3.77	633	622	10.13	13.14	10.83	8.02	1	1	32	1	0	1	1	22.5	7	1	1	1	0	0	0	0	0	0	1	1	.8253333333333334	15.62		13.62	2
44	1	26	3	6	0	15.62	2	17.62	10.61	3.77	633	622	10.13	13.14	10.83	8.02	1	1	32	1	0	1	1	22.5	7	1	1	1	0	0	0	0	0	0	1	1	.4715555555555555	17.62		15.62	2
44	1	26	4	6	0	13.52	37.24	50.76	100	3.77	633	622	10.13	13.14	10.83	8.02	1	1	32	1	0	1	1	22.5	7	1	1	1	0	0	0	0	0	0	1	1	4.444444444444445	50.76		13.52	37.24
44	1	26	5	6	0	21.3	2	23.3	0	3.77	633	622	10.13	13.14	10.83	8.02	1	1	32	1	0	1	1	22.5	7	1	1	1	0	0	0	0	0	0	1	1	0		23.3		
44	1	26	6	6	0	0	0	77.4	0	3.77	633	622	10.13	13.14	10.83	8.02	1	1	32	1	0	1	1	22.5	7	1	1	1	0	0	0	0	0	0	1	1	0		77.4		
46	1	27	1	4	1	15.8	3.5	19.3	108.39	12.03	625	688	18.48	18.12	25.63	70.73	1	1	58	1	0	2	2	55	1	1	2	2	0	0	0	0	1	0	1	1	1.9707272727272727	19.3		15.8	3.5
46	1	27	2	4	0	20.8	3.5	24.3	54.19	12.03	625	688	18.48	18.12	25.63	70.73	1	1	58	1	0	2	2	55	1	1	2	2	0	0	0	0	1	0	1	1	.9852727272727272	24.3		20.8	3.5
46	1	27	3	4	0	22.8	3.5	26.3	30.97	12.03	625	688	18.48	18.12	25.63	70.73	1	1	58	1	0	2	2	55	1	1	2	2	0	0	0	0	1	0	1	1	.5630909090909091	26.3		22.8	3.5
46	1	27	4	4	0	32.61	21.9	54.51	154.8	12.03	625	688	18.48	18.12	25.63	70.73	1	1	58	1	0	2	2	55	1	1	2	2	0	0	0	0	1	0	1	1	2.814545454545455	54.51		32.61	21.9
46	2	28	1	4	0	17.7	2.5	20.2	122.78	13.78	625	711	18.48	18.12	29.08	29.81	1	0	60	1	0	2	2	55	1	1	2	2	0	0	0	0	1	0	1	2	2.2323636363636363	20.2		17.7	2.5
